price;state;country;nombre_de_chambre;surface_living;surface_lot;condition;date
313000;Shoreline;USA;3.0;1340.0;13750.0;4.0;02/05/2014
2384000;Seattle;USA;4.0;3650.0;38546.0;3.0;02/05/2014
342000;Kent;USA;3.0;1930.0;1348.0;3.0;02/05/2014
420000;Bellevue;USA;5.0;2000.0;7900.0;4.0;02/05/2014
550000;Redmond;USA;4.0;1940.0;6206.0;3.0;02/05/2014
490000;Seattle;USA;2.0;880.0;6780.0;4.0;02/05/2014
335000;Redmond;USA;2.0;1350.0;4614.0;3.0;02/05/2014
482000;Maple Valley;USA;3.0;2710.0;19000.0;4.0;02/05/2014
452500;North Bend;USA;4.0;2430.0;4748.0;3.0;02/05/2014
640000;Seattle;USA;3.0;1520.0;9030.0;3.0;02/05/2014
463000;Lake Forest Park;USA;3.0;1710.0;8767.0;4.0;02/05/2014
1400000;Seattle;USA;4.0;2920.0;33976.0;5.0;02/05/2014
588500;Sammamish;USA;4.0;2330.0;3920.0;3.0;02/05/2014
365000;Seattle;USA;3.0;1090.0;8160.0;3.0;02/05/2014
1200000;Seattle;USA;5.0;2910.0;53898.0;5.0;02/05/2014
242500;Kent;USA;3.0;1200.0;7280.0;4.0;02/05/2014
419000;Bellevue;USA;3.0;1570.0;7200.0;4.0;02/05/2014
367500;Auburn;USA;4.0;3110.0;108464.0;4.0;02/05/2014
257950;Des Moines;USA;3.0;1370.0;78408.0;5.0;02/05/2014
275000;North Bend;USA;3.0;1180.0;7793.0;4.0;02/05/2014
750000;Seattle;USA;4.0;2240.0;8504.0;3.0;02/05/2014
435000;Bellevue;USA;3.0;1450.0;7200.0;3.0;02/05/2014
626000;Seattle;USA;3.0;1750.0;7020.0;3.0;02/05/2014
612500;Bothell;USA;5.0;2730.0;22572.0;3.0;02/05/2014
495000;Seattle;USA;3.0;1600.0;3573.0;3.0;02/05/2014
285000;Federal Way;USA;4.0;2090.0;6630.0;3.0;02/05/2014
615000;Seattle;USA;2.0;2360.0;11340.0;3.0;02/05/2014
698000;Kirkland;USA;3.0;2200.0;5000.0;3.0;02/05/2014
675000;Issaquah;USA;3.0;2820.0;8159.0;3.0;02/05/2014
790000;Seattle;USA;4.0;2600.0;5390.0;4.0;02/05/2014
382500;Kirkland;USA;3.0;1560.0;9788.0;3.0;02/05/2014
499950;Woodinville;USA;3.0;2860.0;43821.0;4.0;02/05/2014
650000;Seattle;USA;3.0;1820.0;8008.0;3.0;02/05/2014
625000;Shoreline;USA;3.0;2820.0;8159.0;3.0;02/05/2014
